(17/04/2020, 05:05:00) Stewart_Hoodsworth[SQLID: 6193] je radi neaktivnosti izgubio posao ID 1 i 6 sati ugovora.
(17/04/2020, 05:05:00) Zee_Smith[SQLID: 6261] je radi neaktivnosti izgubio posao ID 1 i 18 sati ugovora.
(17/04/2020, 05:05:00) Phil_Black[SQLID: 6308] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(17/04/2020, 05:05:00) James_Miller[SQLID: 6311] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(18/04/2020, 05:05:00) Ethan_Queen[SQLID: 1267] je radi neaktivnosti izgubio posao ID 15 i 7 sati ugovora.
(18/04/2020, 05:05:00) Brendan_Civella[SQLID: 4425] je radi neaktivnosti izgubio posao ID 7 i 3 sati ugovora.
(18/04/2020, 05:05:00) Johnny_Coleman[SQLID: 6081] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(18/04/2020, 05:05:00) Kieran_Burke[SQLID: 6231] je radi neaktivnosti izgubio posao ID 4 i 1 sati ugovora.
(18/04/2020, 05:05:00) Helmut_Roth[SQLID: 6233] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(18/04/2020, 05:05:00) Ben_Nelson[SQLID: 6240] je radi neaktivnosti izgubio posao ID 5 i 3 sati ugovora.
(18/04/2020, 05:05:00) Tom_Jefferson[SQLID: 6254] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(18/04/2020, 05:05:00) Giuseppe_Lucchesi[SQLID: 6260] je radi neaktivnosti izgubio posao ID 5 i 0 sati ugovora.
(18/04/2020, 05:05:00) Michael_Nelson[SQLID: 6286] je radi neaktivnosti izgubio posao ID 16 i 2 sati ugovora.
(18/04/2020, 05:05:00) Terryl_Atkins[SQLID: 6288] je radi neaktivnosti izgubio posao ID 7 i 7 sati ugovora.
(18/04/2020, 05:05:00) Nick_Jane[SQLID: 6307] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(18/04/2020, 05:05:00) Tanner_Farrell[SQLID: 6312] je radi neaktivnosti izgubio posao ID 1 i 2 sati ugovora.
(18/04/2020, 05:05:00) Franklin_Marcus[SQLID: 6328] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(18/04/2020, 05:05:00) Victor_Fedorov[SQLID: 6332] je radi neaktivnosti izgubio posao ID 14 i 3 sati ugovora.
(18/04/2020, 05:05:00) Igor_Djokic[SQLID: 6335] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(19/04/2020, 05:05:00) Scott_Farrell[SQLID: 6200] je radi neaktivnosti izgubio posao ID 15 i 13 sati ugovora.
(19/04/2020, 05:05:00) John_Matthews[SQLID: 6271] je radi neaktivnosti izgubio posao ID 14 i 0 sati ugovora.
(19/04/2020, 05:05:00) Deshawn_Arkwood[SQLID: 6329] je radi neaktivnosti izgubio posao ID 15 i 0 sati ugovora.
(19/04/2020, 05:05:00) Michael_Davis[SQLID: 6336] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(19/04/2020, 05:05:00) Ben_Blackwood[SQLID: 6338] je radi neaktivnosti izgubio posao ID 7 i 3 sati ugovora.
(19/04/2020, 05:05:00) Ryan_Vafles[SQLID: 6352] je radi neaktivnosti izgubio posao ID 1 i 2 sati ugovora.
(19/04/2020, 05:05:00) John_Gonzales[SQLID: 6356] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
