(17/05/2020, 23:10:45) Igor_Kostic[SQL:561] je uzeo TEC9(50) iz Warehousea Klan Amerika[SQL:9].
(18/05/2020, 00:41:59) Mile_Raonic[SQL:285] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(18/05/2020, 00:42:18) Mile_Raonic[SQL:285] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(18/05/2020, 00:43:15) Mile_Raonic[SQL:285] je uzeo Desert Eagle(50) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:38:38) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:39:07) Uros_Radovic[SQL:154] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:40:02) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:40:46) Uros_Radovic[SQL:154] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:55:18) Uros_Radovic[SQL:154] je uzeo Silenced Pistol(58) iz Warehousea Klan Amerika[SQL:9].
(20/05/2020, 23:55:26) Igor_Kostic[SQL:561] je uzeo Colt 45(20) iz Warehousea Klan Amerika[SQL:9].
(21/05/2020, 22:35:23) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(22/05/2020, 01:13:19) Uros_Radovic[SQL:154] je uzeo Colt 45(17) iz Warehousea Klan Amerika[SQL:9].
(22/05/2020, 01:18:47) Uros_Radovic[SQL:154] je uzeo TEC9(50) iz Warehousea Klan Amerika[SQL:9].
(22/05/2020, 01:30:57) Uros_Radovic[SQL:154] je uzeo Shotgun(25) iz Warehousea Klan Amerika[SQL:9].
(22/05/2020, 02:13:14) Alan_Huang[SQL:302] je uzeo Desert Eagle(4) iz Warehousea On Leong Tong - GSS[SQL:6].
(22/05/2020, 02:14:18) Alan_Huang[SQL:302] je uzeo 43$ iz Warehousea On Leong Tong - GSS[SQL:6].
(23/05/2020, 00:18:08) Uros_Radovic[SQL:154] je uzeo TEC9(50) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 00:21:13) Uros_Radovic[SQL:154] je uzeo UZI(50) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 23:24:55) Uros_Radovic[SQL:154] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 23:42:14) Uros_Radovic[SQL:154] je uzeo Shotgun(50) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 23:43:04) Uros_Radovic[SQL:154] je uzeo Shotgun(50) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 23:46:38) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(23/05/2020, 23:48:25) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(26/05/2020, 01:09:24) Igor_Kostic[SQL:561] je uzeo MP5(60) iz Warehousea Klan Amerika[SQL:9].
(26/05/2020, 01:10:17) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:12:21) Igor_Kostic[SQL:561] je uzeo TEC9(50) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:13:15) Igor_Kostic[SQL:561] je uzeo M4(100) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:13:27) Igor_Kostic[SQL:561] je uzeo AK47(10) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:13:31) Igor_Kostic[SQL:561] je uzeo M4(100) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:13:36) Igor_Kostic[SQL:561] je uzeo UZI(50) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:14:16) Igor_Kostic[SQL:561] je uzeo Rifle(42) iz Warehousea Klan Amerika[SQL:9].
(01/06/2020, 15:14:18) Igor_Kostic[SQL:561] je uzeo Colt 45(17) iz Warehousea Klan Amerika[SQL:9].
(19/08/2020, 13:12:18) Luca_Butler[SQL:510] je uzeo TEC9(200) iz Warehousea Borivoj[SQL:7].
(19/08/2020, 13:39:28) Luca_Butler[SQL:510] je uzeo TEC9(200) iz Warehousea Borivoj[SQL:7].
